最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
106.083	-1.99	123062	三超转债	-	96.0129	17.54	-0.06	300554	三超新材	102.1549	3.85	10.49	12.02	22.32	113.0	20210201	20200727
-	-	110073	国投转债	-	88.4446	-	-	600061	国投资本	96.0	11.97	21.53	-	19.83	107.0	20210201	20200724
95.4	-4.88	128122	兴森转债	-	94.3666	8.77	-1.13	002436	兴森科技	61.8477	54.25	1.1	8.51	18.43	110.0	20210129	20200723
-	-	113037	紫银转债	-	92.8654	-	-	601860	紫金银行	105.4737	-4.07	8.95	-	6.18	110.0	20210129	20200723
98.506	-7.04	123061	航新转债	-	100.1567	13.88	-0.5	300424	航新科技	93.4051	5.46	-1.65	10.4	19.32	118.0	20210128	20200722
108.795	-9.15	123060	苏试转债	-	94.3286	23.79	-0.75	300416	苏试试验	99.7066	9.12	15.34	16.7	31.02	112.0	20210127	20200721
-	-	113595	花王转债	-	100.5236	-	-	603007	花王股份	93.9481	-3.87	-10.16	4.86	9.01	116.0	20210127	20200721
-	-	113594	淳中转债	-	97.4291	-	-	603516	淳中科技	100.9652	6.69	10.56	27.56	51.18	115.0	20210127	20200721
109.255	-6.06	127020	中金转债	-	91.0516	5.15	0.0	000060	中金岭南	109.3418	-0.08	19.99	3.3	6.12	110.0	20210125	20200720
-	-	113593	沪工转债	-	97.5882	-	-	603131	上海沪工	92.0732	16.35	9.78	14.92	27.72	115.0	20210125	20200720
108.222	-8.11	128121	宏川转债	-	90.914	18.77	-1.73	002930	宏川智慧	92.6914	16.76	19.04	14.18	26.33	108.0	20210125	20200717
87.687	-7.2	128120	联诚转债	-	95.075	18.98	3.15	002921	联诚精密	77.8826	12.59	-7.77	17.06	31.68	112.0	20210125	20200717
74.598	-8.02	127019	国城转债	-	92.3394	10.0	7.18	000688	国城矿业	47.4608	57.18	-19.21	14.75	27.39	110.0	20210121	20200715
89.351	-8.62	123059	银信转债	-	99.5977	7.78	-0.26	300231	银信科技	78.5066	13.81	-10.29	6.94	12.88	118.0	20210121	20200715
128.146	-8.4	123058	欣旺转债	-	93.3398	27.69	-0.22	300207	欣旺达	130.1222	-1.52	37.29	14.9	27.61	111.0	20210120	20200714
131.004	1.4	128119	龙大转债	-	96.4481	10.96	-6.56	002726	龙大肉食	114.6444	14.27	35.83	6.69	12.44	115.0	20210118	20200713
-	-	110071	湖盐转债	-	92.4828	-	-	600929	雪天盐业	98.7879	2.03	8.98	4.62	8.58	110.0	20210118	20200710
-	-	113592	安20转债	-	90.8094	-	-	603345	安井食品	107.17	106.21	143.37	81.13	150.67	108.0	20210114	20200708
-	-	113036	宁建转债	-	94.2187	-	-	601789	宁波建工	106.9959	-7.87	4.62	3.4	6.32	110.0	20210111	20200706
