最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
-	-	123100	朗科转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20210209
-	-	128137	洁美转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201104
-	-	127024	盈峰转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201104
-	-	128136	立讯转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201103
186.8	15.01	113041	紫金转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201103
-	-	123075	贝斯转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201102
107.62	0.0	113607	伟20转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201102
111.8	0.0	110076	华海转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201102
98.01	0.0	113606	荣泰转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201030
-	-	123074	隆利转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201029
-	-	123073	同和转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201026
-	-	127023	华菱转2	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201023
130.33	0.0	113605	大参转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201022
144.92	0.0	113040	星宇转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201022
-	-	123072	乐歌转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201021
-	-	123071	天能转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201021
-	-	128135	洽洽转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201020
-	-	123070	鹏辉转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201020
-	-	127022	恒逸转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201016
-	-	123069	金诺转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201016
-	-	123068	弘信转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201015
120.49	0.0	110075	南航转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201015
85.96	0.0	113604	多伦转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201013
-	-	128134	鸿路转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201009
117.01	0.0	113603	东缆转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200924
-	-	128133	奇正转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200922
-	-	123067	斯莱转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200917
-	-	123066	赛意转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200916
-	-	128132	交建转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200915
-	-	128131	崇达转2	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200907
-	-	123065	宝莱转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200904
-	-	123064	万孚转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200901
-	-	128130	景兴转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200831
-	-	128129	青农转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200825
103.09	0.0	113602	景20转债	-	90.5443	26.4	0.0	603228	景旺电子	74.8299	37.77	13.86	24.7	45.86	108.0	20210301	20200824
89.98	-1.68	113039	嘉泽转债	-	90.3533	3.06	0.0	601619	嘉泽新能	85.7143	6.77	1.29	2.5	4.64	108.0	20210301	20200824
89.99	0.0	113601	塞力转债	-	97.0077	14.15	0.0	603716	塞力医疗	83.3333	7.99	-7.23	11.89	22.07	115.0	20210301	20200821
-	-	128128	齐翔转2	-	92.1607	-	-	-	-	89.781	3.14	0.48	-	-	-	20210226	20200820
-	-	128127	文科转债	-	97.0182	-	-	-	-	70.8333	20.51	-12.02	-	-	-	20210301	20200820
86.84	0.0	110074	精达转债	-	93.7765	2.7	0.0	600577	精达股份	71.0526	22.22	-7.4	2.66	4.88	112.0	20210225	20200819
70.86	0.0	110072	广汇转债	-	91.4514	2.2	-7.95	600297	广汇汽车	59.3052	19.48	-22.52	2.82	5.24	110.0	20210224	20200818
83.88	0.0	113600	新星转债	-	100.7875	15.83	0.0	603978	深圳新星	66.3732	26.38	-16.78	16.7	31.01	120.0	20210219	20200813
-	-	127021	特发转2	-	94.1972	-	-	-	-	55.88	64.82	-2.23	-	-	-	20210213	20200807
-	-	128126	赣锋转2	-	88.8675	-	-	-	-	183.0908	2.13	110.42	-	-	-	20210218	20200806
94.48	0.0	113599	嘉友转债	-	100.8739	20.81	0.0	603871	嘉友国际	83.8437	12.69	-6.34	17.37	32.27	120.0	20210218	20200805
116.32	0.0	113598	法兰转债	-	97.129	15.97	0.0	603966	法兰泰克	115.0576	1.1	19.76	9.72	18.04	115.0	20210206	20200731
213.43	0.0	113038	隆20转债	-	89.5139	114.62	0.0	601012	隆基股份	217.2067	-1.74	138.43	36.94	68.37	107.0	20210206	20200731
-	-	128125	华阳转债	-	94.9411	-	-	-	-	70.57	37.88	2.48	-	-	-	20210205	20200730
90.73	0.0	113597	佳力转债	-	99.7958	11.93	0.0	603912	佳力图	50.9829	77.96	-9.08	16.38	30.42	118.0	20210205	20200730
-	-	128124	科华转债	-	88.3293	-	-	-	-	70.7442	34.29	7.55	-	-	-	20210203	20200728
-	-	123063	大禹转债	-	101.4022	-	-	-	-	90.4858	8.3	-3.36	-	-	-	20210203	20200728
79.49	0.0	113596	城地转债	-	90.9731	15.0	8.46	603887	城地香江	47.3468	67.89	-12.62	20.45	37.97	108.0	20210204	20200728
-	-	128123	国光转债	-	93.185	-	-	-	-	71.4599	39.24	6.78	-	-	-	20210201	20200727
-	-	123062	三超转债	-	96.0129	-	-	-	-	99.1846	3.24	6.65	-	-	-	20210201	20200727
105.16	0.0	110073	国投转债	-	88.4446	12.07	0.0	600061	国投资本	79.1475	32.87	18.9	-	19.83	107.0	20210201	20200724
-	-	128122	兴森转债	-	94.3666	-	-	-	-	55.9238	72.73	2.37	-	-	-	20210129	20200723
100.63	-0.55	113037	紫银转债	-	92.8654	3.9	0.0	601860	紫金银行	82.1053	23.24	8.96	-	6.18	110.0	20210129	20200723
-	-	123061	航新转债	-	100.1567	-	-	-	-	79.5424	23.46	-1.95	-	-	-	20210128	20200722
-	-	123060	苏试转债	-	94.3286	-	-	-	-	95.1802	17.67	18.73	-	-	-	20210127	20200721
84.42	0.0	113595	花王转债	-	100.5236	4.77	-0.42	603007	花王股份	69.0202	22.31	-16.02	4.86	9.01	116.0	20210127	20200721
96.0	0.0	113594	淳中转债	-	97.4291	26.5	-3.99	603516	淳中科技	70.1041	36.94	-1.47	27.56	51.18	115.0	20210127	20200721
-	-	127020	中金转债	-	91.0516	-	-	-	-	85.5626	23.32	15.88	-	-	-	20210125	20200720
99.26	0.0	113593	沪工转债	-	97.5882	19.31	0.0	603131	上海沪工	90.5722	9.59	1.71	14.92	27.72	115.0	20210125	20200720
-	-	128121	宏川转债	-	90.914	-	-	-	-	93.284	22.09	25.27	-	-	-	20210125	20200717
-	-	128120	联诚转债	-	95.075	-	-	-	-	69.1424	28.96	-6.21	-	-	-	20210125	20200717
-	-	127019	国城转债	-	92.3394	-	-	-	-	39.0128	94.81	-17.69	-	-	-	20210121	20200715
-	-	123059	银信转债	-	99.5977	-	-	-	-	73.9657	22.91	-8.72	-	-	-	20210121	20200715
-	-	123058	欣旺转债	-	93.3398	-	-	-	-	122.2744	11.14	45.6	-	-	-	20210120	20200714
-	-	128119	龙大转债	-	96.4481	-	-	-	-	125.523	-0.49	29.51	-	-	-	20210118	20200713
94.11	0.0	110071	湖盐转债	-	92.4828	4.68	-4.1	600929	雪天盐业	73.9394	27.28	1.76	4.62	8.58	110.0	20210118	20200710
235.99	0.0	113592	安20转债	-	90.8094	274.1	0.0	603345	安井食品	236.497	-0.21	159.87	81.13	150.67	108.0	20210114	20200708
90.05	0.0	113036	宁建转债	-	94.2187	3.51	0.0	601789	宁波建工	72.2222	24.68	-4.42	3.4	6.32	110.0	20210111	20200706
-	-	128118	瀛通转债	-	98.1956	-	-	-	-	59.2808	44.99	-12.47	-	-	-	20210108	20200702
-	-	128117	道恩转债	-	99.2247	-	-	-	-	75.5798	22.39	-6.78	-	-	-	20210108	20200702
-	-	123057	美联转债	-	95.0407	-	-	-	-	73.1584	24.66	-4.04	-	-	-	20210107	20200701
93.14	0.0	113591	胜达转债	-	98.2438	8.37	0.0	603687	大胜达	56.8228	63.91	-5.2	10.31	13.6	116.0	20210108	20200701
-	-	128116	瑞达转债	-	92.6775	-	-	-	-	69.0812	32.21	-1.45	-	-	-	20210104	20200629
-	-	127018	本钢转债	-	103.6154	-	-	-	-	55.8648	32.11	-28.77	-	-	-	20210104	20200629
167.34	0.0	113590	海容转债	-	92.9496	61.29	0.0	603187	海容冷链	168.4254	-0.64	80.03	25.47	47.31	110.0	20210104	20200629
-	-	128115	巨星转债	-	92.7379	-	-	-	-	293.1596	-0.06	215.94	-	-	-	20210104	20200624
-	-	123056	雪榕转债	-	97.4188	-	-	-	-	78.6375	19.54	-3.51	-	-	-	20210104	20200624
78.67	0.0	113589	天创转债	-	92.7379	4.87	-3.94	603608	天创时尚	40.1108	96.13	-15.17	8.85	16.17	110.0	20210102	20200624
-	-	128114	正邦转债	-	92.8069	-	-	-	-	98.4462	10.91	17.65	-	-	-	20201223	20200617
-	-	123055	晨光转债	-	100.087	-	-	-	-	126.6939	-0.37	26.12	-	-	-	20201223	20200617
99.98	0.0	113588	润达转债	-	91.9081	10.91	0.0	603108	润达医疗	81.6617	22.43	8.78	9.35	17.37	109.0	20201223	20200617
-	-	128113	比音转债	-	94.4293	-	-	-	-	109.2617	4.33	20.71	-	-	-	20201221	20200615
145.97	0.0	113587	泛微转债	-	100.1083	94.68	0.0	603039	泛微网络	147.1786	-0.82	45.81	45.03	83.63	118.0	20201221	20200615
-	-	128112	歌尔转2	-	92.1077	-	-	-	-	137.1294	-0.82	47.65	-	-	-	20201218	20200612
-	-	128111	中矿转债	-	100.5005	-	-	-	-	174.8229	0.67	75.12	-	-	-	20201217	20200611
-	-	123054	思特转债	-	98.1059	-	-	-	-	62.0982	38.49	-12.34	-	-	-	20201216	20200610
-	-	128110	永兴转债	-	91.1844	-	-	-	-	249.7086	-0.68	171.98	-	-	-	20201215	20200609
133.13	0.0	113585	寿仙转债	-	94.9434	38.58	0.0	603896	寿仙谷	134.5188	-1.03	40.22	20.08	37.28	112.0	20201215	20200609
-	-	123053	宝通转债	-	97.8082	-	-	-	-	72.6923	30.68	-2.88	-	-	-	20201211	20200605
-	-	123052	飞鹿转债	-	102.7117	-	-	-	-	92.0202	9.67	-1.74	-	-	-	20201211	20200605
94.08	0.0	113584	家悦转债	-	92.9253	19.74	0.0	603708	家家悦	51.9884	80.96	1.24	26.58	49.36	110.0	20201212	20200605
