基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立以来,手续费
004557,北信瑞丰鼎丰灵活配置混合,2020-12-31,1.3256,1.3256,4.59,10.13,21.78,23.74,19.26,29.39,,,29.39,32.56,0.15%
000535,长盛航天海工装备灵活配置混合,2020-12-31,1.6690,2.1840,4.57,9.08,18.71,19.64,67.40,74.58,102.30,58.05,74.58,156.3141,0.15%
050009,博时新兴成长混合,2020-12-31,1.3150,5.5040,4.20,8.86,23.01,24.41,29.30,76.27,184.02,96.56,76.27,56.8655,0.15%
001838,国投瑞银国家安全混合,2020-12-31,1.3260,1.3260,4.99,8.78,20.22,23.35,75.86,92.17,131.01,70.66,92.17,32.60,0.15%
003834,华夏能源革新股票,2020-12-31,2.7030,2.7030,3.05,8.77,35.76,63.62,87.32,120.65,232.06,148.21,120.65,170.30,0.15%
001986,前海开源人工智能主题混合,2020-12-31,2.1980,2.1980,3.53,8.70,15.93,17.79,27.13,74.17,154.69,66.39,74.17,119.80,0.15%
004224,南方军工改革灵活配置混合,2020-12-31,1.4478,1.4478,4.84,8.30,17.32,23.01,59.24,91.94,149.79,72.56,91.94,44.78,0.15%
010364,鹏华空天军工指数(LOF)C,2020-12-31,1.2649,1.2649,4.36,8.30,17.41,,,,,,,26.49,0.00%
160643,鹏华空天军工指数(LOF)A,2020-12-31,1.5760,1.5760,4.36,8.29,17.41,25.06,65.93,89.79,134.14,69.81,89.79,57.5842,0.12%
002251,华夏军工安全混合,2020-12-31,1.7510,1.7510,4.35,8.02,23.14,25.34,71.50,89.71,137.91,85.29,89.71,75.10,0.15%
005774,华夏产业升级混合,2020-12-31,2.0818,2.0818,4.72,8.01,21.55,25.27,42.81,72.41,115.37,,72.41,108.18,0.15%
002703,长城久源灵活配置混合,2020-12-31,1.7254,1.7254,4.33,7.97,22.03,21.78,39.66,45.53,64.18,71,45.53,72.54,0.15%
007355,汇添富科技创新混合A,2020-12-31,2.1314,2.1314,2.94,7.97,13.05,22.48,31.80,72.61,,,72.61,113.14,0.15%
002419,汇添富盈安灵活配置混合,2020-12-31,1.9520,1.9730,2.85,7.96,13.16,19.83,30.39,59.22,85.20,84.67,59.22,99.1003,0.12%
007356,汇添富科技创新混合C,2020-12-31,2.1026,2.1026,2.94,7.96,12.98,22.24,31.26,71.25,,,71.25,110.26,0.00%
000690,前海开源大海洋混合,2020-12-31,2.11,2.11,4.56,7.93,19.28,23.68,81.74,73.09,170.86,125.19,73.09,111,0.15%
168501,北信瑞丰产业升级,2020-12-31,2.4486,2.4486,3.79,7.92,19.89,23.99,59.16,106.01,203.46,142.08,106.01,144.86,0.15%
519005,海富通股票混合,2020-12-31,1.1920,3.1410,4.84,7.87,22.26,16.86,4.56,24.56,126.19,74.27,24.56,412.2828,0.15%
040011,华安核心优选混合,2020-12-31,2.6194,4.1494,2.69,7.82,10.01,25.72,62.59,75.16,148.74,122.55,75.16,593.0827,0.15%
004263,华安沪港深机会灵活配置混合,2020-12-31,2.4280,2.64,2.53,7.82,11.89,26.13,41.74,55.44,131.89,118.08,55.44,181.9763,0.15%
002604,华夏新起点混合A,2020-12-31,1.8850,1.8850,3.17,7.78,14.94,13.90,26.85,55.91,110.61,69.06,55.91,88.50,0.15%
008084,海富通先进制造股票C,2020-12-31,1.1920,1.1920,5.19,7.70,23.55,18.90,12.68,19.27,,,19.27,19.20,0.00%
008085,海富通先进制造股票A,2020-12-31,1.1969,1.1969,5.18,7.70,23.58,19.02,12.90,19.75,,,19.75,19.69,0.15%
519908,华夏兴华混合A,2020-12-31,3.0940,7.59,2.89,7.69,22.49,31.72,43.31,71.41,128.68,63.96,71.41,209.40,0.15%
005450,华夏稳盛灵活配置混合,2020-12-31,2.2214,2.2214,2.59,7.65,19.39,31.09,50.28,87.24,180.30,,87.24,122.14,0.15%
001809,中信建投智信物联网A,2020-12-31,2.0794,2.0794,3.98,7.65,17.73,19.45,20.11,54.97,165.60,85.02,54.97,107.94,0.15%
004636,中信建投智信物联网C,2020-12-31,2.1502,2.1502,3.97,7.64,17.68,19.32,19.87,54.35,163.57,79.17,54.35,115.02,0.00%
160516,博时中证全指证券公司指数(LOF),2020-12-31,1.3903,0.9623,4.28,7.62,0.78,2.61,22.62,14.38,62.66,23.26,14.38,-3.7685,0.10%
004671,中融核心成长,2020-12-31,1.5427,1.5427,3.80,7.62,28.32,36.67,39.89,72.93,160.72,60.15,72.93,54.27,0.15%
580009,东吴多策略灵活配置混合,2020-12-31,1.8666,2.6296,4.04,7.62,22.68,21.24,30.04,57.80,130.59,85.57,57.80,247.2327,0.15%
008590,天弘中证全指证券公司A,2020-12-31,1.2865,1.2865,4.30,7.62,0.63,2.36,23.82,22.35,,,22.35,28.65,0.10%
002289,华商改革创新股票,2020-12-31,1.9529,1.9529,2.91,7.61,6.68,14.39,16.20,46.52,130.40,,46.52,95.29,0.15%
008591,天弘中证全指证券公司C,2020-12-31,1.2837,1.2837,4.30,7.61,0.61,2.31,23.69,22.09,,,22.09,28.37,0.00%
004987,诺德新享灵活配置混合,2020-12-31,2.3397,2.3397,1.82,7.60,23.95,37.07,64.79,87.16,116.40,118.46,87.16,133.97,0.15%
004069,南方中证全指证券公司ETF联接A,2020-12-31,1.2692,1.2692,4.31,7.60,0.22,1.49,22.71,21.43,76.60,36.49,21.43,26.92,0.12%
004070,南方中证全指证券公司ETF联接C,2020-12-31,1.2498,1.2498,4.31,7.59,0.19,1.40,22.48,20.95,75.21,34.88,20.95,24.98,0.00%
501048,汇添富中证全指证券公司指数C,2020-12-31,1.2692,1.2692,4.32,7.55,0.01,1.03,21.13,19.78,75.40,28.37,19.78,26.92,0.00%
501047,汇添富中证全指证券公司指数A,2020-12-31,1.2646,1.2646,4.32,7.55,0.02,1.10,21.28,20.07,74.57,27.88,20.07,26.46,0.08%
007992,华夏中证全指证券公司ETF联接A,2020-12-31,1.3102,1.3102,4.23,7.53,0.38,2.16,20.54,,,,,31.02,0.12%
007993,华夏中证全指证券公司ETF联接C,2020-12-31,1.3073,1.3073,4.23,7.52,0.36,2.08,20.36,,,,,30.73,0.00%
006098,华宝券商ETF联接A,2020-12-31,1.6852,1.6852,4.29,7.47,0.27,1.24,19.72,18.52,70.48,,18.52,68.52,0.10%
007531,华宝券商ETF联接C,2020-12-31,1.6752,1.6752,4.29,7.45,0.23,1.14,19.49,18.05,,,18.05,32.6576,0.00%
009240,泰康蓝筹优势一年持有股票,2020-12-31,1.1681,1.1681,2.76,7.43,15.17,18.37,,,,,,16.81,0.15%
002345,华夏高端制造混合,2020-12-31,1.5780,1.5780,3.14,7.42,26.85,33.39,59.88,89.44,155.75,72.46,89.44,57.80,0.15%
007853,华商计算机行业量化股票,2020-12-31,1.3152,1.3152,3.78,7.42,6.78,3.52,3.71,31.26,,,31.26,31.52,0.15%
005894,华夏优势精选股票,2020-12-31,2.0382,2.0382,2.52,7.40,20.70,28.34,26.45,59.97,119.28,,59.97,103.82,0.15%
005826,华夏潜龙精选股票,2020-12-31,2.1802,2.1802,2.28,7.37,17.49,26.42,39.66,56.30,132.78,,56.30,118.02,0.15%
005449,华夏行业龙头混合,2020-12-31,1.6934,1.6934,2.28,7.34,21.70,28.24,41.06,56.19,104.74,,56.19,69.34,0.15%
002669,华商万众创新混合,2020-12-31,2.2750,2.2750,2.11,7.26,13.58,21.66,43.26,116.67,265.76,187.97,116.67,127.50,0.15%
270005,广发聚丰混合A,2020-12-31,1.5949,8.0464,1.57,7.26,15.64,10.35,16.77,74.27,137.94,63.19,74.27,862.3497,0.15%
005693,广发中证军工ETF联接C,2020-12-31,1.2351,1.2351,4.22,7.26,13.17,17.14,48.99,63.09,100.86,,63.09,72.7896,0.00%
003017,广发中证军工ETF联接A,2020-12-31,1.2374,1.2374,4.22,7.25,13.18,17.19,49.14,63.40,101.53,50.76,63.40,23.74,0.12%
010025,广发聚丰混合C,2020-12-31,1.5937,1.5937,1.56,7.25,15.59,10.26,,,,,,11.2764,0.00%
270050,广发新经济混合A,2020-12-31,4.9585,4.9585,1.76,7.21,17.73,13.59,24.15,104.98,181.25,115.03,104.98,395.85,0.15%
006604,嘉实消费精选股票A,2020-12-31,2.2505,2.2505,1.86,7.20,18.51,27.30,59.97,98.56,,,98.56,125.05,0.15%
008958,嘉实回报精选股票,2020-12-31,1.4808,1.4808,1.86,7.20,18.78,28.24,39.42,,,,,48.0652,0.15%
010134,广发新经济混合C,2020-12-31,4.9543,4.9543,1.76,7.20,17.69,13.50,,,,,,14.6802,0.00%
000596,前海开源中证军工指数A,2020-12-31,2.1460,2.1460,4.17,7.19,13.73,19.29,52.52,75.90,117.21,59.44,75.90,114.60,0.12%
006605,嘉实消费精选股票C,2020-12-31,2.2275,2.2275,1.86,7.19,18.46,27.14,59.57,97.60,,,97.60,122.75,0.00%
009025,海富通科技创新混合A,2020-12-31,1.1910,1.1910,5.18,7.17,22.13,19.26,13.60,,,,,19.10,0.15%
002199,前海开源中证军工指数C,2020-12-31,1.0930,2.0530,4.19,7.16,13.74,19.19,52.23,75.44,116.01,58.18,75.44,8.0507,0.12%
001623,兴业国企改革混合,2020-12-31,2.6640,2.6640,2.54,7.16,19.03,27.34,53.10,78.31,156.65,104.61,78.31,166.40,0.15%
009024,海富通科技创新混合C,2020-12-31,1.1833,1.1833,5.18,7.15,22.04,19.01,13.15,,,,,18.33,0.00%
008528,华泰柏瑞质量成长,2020-12-31,1.5543,1.5543,1.97,7.13,15.15,9.41,21.54,,,,,55.43,0.15%
007750,广发优势增长股票,2020-12-31,1.6971,1.6971,1.79,7.13,17.21,13.85,22.52,69.63,,,69.63,69.71,0.15%
005544,银华瑞和灵活配置混合,2020-12-31,2.3856,2.3856,2.35,7.12,20.68,26.10,45.91,77.37,169.32,,77.37,138.56,0.15%
008063,汇添富大盘核心资产混合,2020-12-31,1.6432,1.6432,3.09,7.09,13.86,18.72,40.65,,,,,64.32,0.15%
001781,建信现代服务业股票,2020-12-31,2.1270,2.1270,1.82,6.99,19.43,26.83,29.38,72.23,153.21,73.07,72.23,112.70,0.15%
004351,汇丰晋信珠三角区域发展混合,2020-12-31,1.7174,1.7174,3.84,6.99,11.90,19.03,42.77,52.85,104.45,62.97,52.85,71.74,0.15%
002597,兴业成长动力混合,2020-12-31,1.4120,1.63,2.47,6.97,19.46,18.76,27.55,38.31,88.21,53.16,38.31,71.0850,0.15%
000541,华商创新成长混合发起式,2020-12-31,2.8740,3.1290,2.06,6.96,12.75,19.15,37.12,101.40,234.97,118.89,101.40,249.9611,0.15%
310358,申万菱信新经济混合,2020-12-31,1.4207,2.8429,2.36,6.96,11.19,10.58,18.36,49.17,96.28,31.32,49.17,259.9170,0.15%
001542,国泰互联网+股票,2020-12-31,3.0730,3.2320,3.64,6.96,16.84,14.84,34.54,78.46,144.86,65.90,78.46,238.2718,0.15%
005472,富国价值驱动灵活配置混合A,2020-12-31,2.1665,2.1665,1.99,6.96,14.67,16.59,32.06,89.89,211.64,,89.89,116.65,0.15%
006281,万家人工智能混合,2020-12-31,2.2484,2.2484,2.96,6.96,16.40,25.67,39.46,85.83,,,85.83,124.84,0.15%
005473,富国价值驱动灵活配置混合C,2020-12-31,2.1187,2.1187,1.99,6.94,14.59,16.36,31.52,88.38,206.70,,88.38,111.87,0.00%
009958,长安鑫悦消费混合A,2020-12-31,1.2276,1.2276,2.27,6.91,15.79,22.37,,,,,,22.76,0.15%
000746,招商行业精选股票基金,2020-12-31,4.2620,4.2620,1.57,6.90,7.84,13.59,45.16,101.99,232.45,152.04,101.99,326.20,0.15%
005819,国泰优势行业混合,2020-12-31,2.1871,2.1871,3.56,6.90,17.04,16.05,37.66,89.41,165.39,,89.41,118.71,0.15%
003416,招商财经大数据股票A,2020-12-31,1.2536,1.2536,1.65,6.89,8.39,13.84,35.72,47.38,97.64,45.19,47.38,25.36,0.15%
009959,长安鑫悦消费混合C,2020-12-31,1.2258,1.2258,2.25,6.89,15.73,22.20,,,,,,22.58,0.00%
460005,华泰柏瑞价值增长混合A,2020-12-31,5.3915,6.5768,1.85,6.85,14.20,7.83,19.23,73.32,221.50,147.10,73.32,922.3263,0.15%
008276,财通资管价值发现混合,2020-12-31,1.6523,1.6523,2.63,6.85,10.43,15.25,36.36,,,,,65.23,0.15%
003593,国泰景气行业灵活配置混合,2020-12-31,1.5613,2.1640,3.35,6.84,20.38,19.48,39.53,69.76,167.28,99.81,69.76,144.6471,0.15%
010037,华泰柏瑞价值增长混合C,2020-12-31,5.3780,5.3780,1.85,6.83,14.13,7.62,,,,,,6.9631,0.00%
003516,国泰融安多策略灵活配置混合,2020-12-31,3.2229,3.2229,2.86,6.81,14.47,21.72,34.13,85.82,251.61,222.35,85.82,222.29,0.15%
008988,大成科技创新混合A,2020-12-31,1.4987,1.4987,2.21,6.81,16.88,19.91,30.70,,,,,49.87,0.15%
000431,鹏华品牌传承混合,2020-12-31,3.2660,3.3480,2.51,6.80,17.36,18.16,38.33,87.81,208.11,123.24,87.81,253.2602,0.15%
050010,博时特许价值混合A,2020-12-31,3.57,4.01,3.12,6.79,19.40,24.30,33.61,70.81,217.05,119.15,70.81,399.4237,0.15%
008989,大成科技创新混合C,2020-12-31,1.4947,1.4947,2.20,6.79,16.83,19.79,30.44,,,,,49.47,0.00%
070010,嘉实主题混合,2020-12-31,2.4110,4.0540,1.90,6.78,15.14,22.32,38.06,80.96,119.16,59.49,80.96,540.2786,0.15%
002080,前海开源一带一路混合C,2020-12-31,1.8590,1.8590,2.82,6.78,16.70,25.69,31.19,67.33,140.18,97.77,67.33,85.90,0.15%
000083,汇添富消费行业混合,2020-12-31,8.4040,8.4040,2.16,6.77,17.08,17.59,35.50,77.52,206.83,150.42,77.52,740.40,0.15%
005630,华安研究精选混合,2020-12-31,2.3072,2.5485,2.51,6.77,17.58,18.73,33.14,92.13,236.27,,92.13,157.9505,0.15%
005680,财通资管价值成长混合,2020-12-31,2.4180,2.4180,2.49,6.77,9.73,14.46,33.68,87.47,,,87.47,141.7758,0.15%
008308,华夏见龙精选混合,2020-12-31,1.6202,1.6202,2.32,6.74,20.69,33.24,49.73,,,,,62.02,0.15%
009234,鹏华优质企业混合,2020-12-31,1.4489,1.4489,2.19,6.74,13.90,32.28,44.43,,,,,44.89,0.15%
001209,前海开源一带一路混合A,2020-12-31,1.6970,1.6970,2.79,6.73,16.63,25.61,31.25,67.36,140.37,98.25,67.36,69.70,0.15%
003190,创金合信消费主题股票A,2020-12-31,2.8206,2.6844,2.27,6.72,18.75,23.76,31.59,73.28,196.66,163.95,73.28,168.4385,0.15%
003191,创金合信消费主题股票C,2020-12-31,2.7722,2.6174,2.27,6.70,18.68,23.55,31.13,72.08,192,159.67,72.08,161.7450,0.00%
001069,华泰柏瑞消费成长混合,2020-12-31,2.7120,2.7120,1.92,6.69,15.31,11.42,24.58,83,225.57,147.22,83,171.20,0.15%
340007,兴全社会责任混合,2020-12-31,5.9290,6.1190,2.33,6.68,16.35,16.90,28.95,61.16,132.60,57.02,61.16,572.4558,0.15%
001044,嘉实新消费股票,2020-12-31,2.5270,2.5970,1.16,6.67,6.71,12.16,35.64,67.13,127.67,89.40,67.13,164.7842,0.15%
004895,华商鑫安灵活混合,2020-12-31,1.9570,2.0830,2.09,6.65,13.12,20.36,41.30,117.22,203.93,114.05,117.22,120.0418,0.15%
005259,建信龙头企业股票,2020-12-31,2.1487,2.1487,2.10,6.65,15.03,27.20,43.77,71.73,174.56,,71.73,114.87,0.15%
009369,浦银安盛价值精选混合C,2020-12-31,1.1617,1.1617,2.39,6.65,13.35,18.29,,,,,,16.17,0.00%
009368,浦银安盛价值精选混合A,2020-12-31,1.1637,1.1637,2.38,6.65,13.39,18.41,,,,,,16.37,0.15%
020023,国泰事件驱动策略混合,2020-12-31,5.9370,5.9370,2.63,6.63,14.15,25.39,40.85,97.83,228.37,116.28,97.83,493.70,0.15%
501015,财通多策略升级混合(LOF),2020-12-31,1.1260,1.1260,2.74,6.63,10.72,9.75,9.53,23.46,52.99,19.28,23.46,12.60,0.15%
009876,天弘甄选食品饮料股票C,2020-12-31,1.2344,1.2344,1.64,6.63,18.92,24.94,,,,,,23.44,0.00%
070032,嘉实优化红利混合,2020-12-31,2.5930,3.8060,1.33,6.62,16.96,24.21,45.40,70.76,153.50,100.96,70.76,486.9732,0.15%
470009,汇添富民营活力混合A,2020-12-31,5.4570,5.7070,2.92,6.62,8.73,14.69,21.19,59.10,144.49,66.78,59.10,555.6315,0.15%
000742,国泰新经济灵活配置混合,2020-12-31,2.8190,3.7250,3.45,6.62,16.39,14.41,34.49,76.19,138.82,61.92,76.19,373.1602,0.15%
009875,天弘甄选食品饮料股票A,2020-12-31,1.2353,1.2353,1.64,6.62,18.94,25.01,,,,,,23.53,0.12%
004995,广发品牌消费股票发起式A,2020-12-31,2.1614,2.1614,1.99,6.61,17.02,22.04,47.70,95.57,205.20,117.10,95.57,116.14,0.15%
010245,广发品牌消费股票发起式C,2020-12-31,2.1609,2.1609,1.99,6.61,16.98,21.93,,,,,,23.9190,0.00%
001924,华夏国企改革混合,2020-12-31,1.7760,1.7760,2.72,6.60,16,27.04,33.53,71.43,156.65,81.97,71.43,77.60,0.15%
005481,银华瑞泰灵活配置混合,2020-12-31,2.1755,2.3055,2.26,6.59,20.30,25.72,38.06,95.30,208.67,,95.30,143.1673,0.15%
001403,招商国企改革主题混合基金,2020-12-31,1.62,1.62,2.92,6.58,7.86,15.55,26.66,52.97,141.43,68.40,52.97,62,0.15%
006299,恒越核心精选混合A,2020-12-31,2.1262,2.1262,2.56,6.58,19.79,30.55,61.57,93.06,111.58,,93.06,112.62,0.15%
001102,前海开源国家比较优势混合,2020-12-31,3.8610,3.8610,2.44,6.57,21.49,29.13,42.37,112.38,270.54,165.36,112.38,286.10,0.15%
007193,恒越核心精选混合C,2020-12-31,2.1310,2.1310,2.56,6.57,19.76,30.48,61.40,92.69,,,92.69,90.0134,0.00%
005609,富国军工主题混合A,2020-12-31,2.0766,2.0766,3.39,6.56,19.24,21.64,61.72,100.23,177.69,,100.23,107.66,0.15%
161706,招商优质成长混合(LOF),2020-12-31,3.50,5.5954,1.59,6.55,7.46,12.82,41.84,89.08,201.74,130.02,89.08,1202.5282,0.15%
240017,华宝新兴产业混合,2020-12-31,3.2001,3.6481,2.19,6.55,16.85,18.02,29.67,75.34,157.47,75.45,75.34,301.2778,0.15%
005164,富荣福锦混合A,2020-12-31,2.0613,2.0613,2.81,6.55,16.10,22.22,47,87.80,152.46,,87.80,106.13,0.15%
005165,富荣福锦混合C,2020-12-31,2.0345,2.0345,2.80,6.55,16.08,22.18,46.92,87.60,151.48,,87.60,103.45,0.00%
217020,招商安达灵活配置混合,2020-12-31,2.8739,3.1718,2.35,6.54,20.79,21.76,34.98,81.57,197.60,125.33,81.57,272.9973,0.15%
501019,国泰国证航天军工指数,2020-12-31,1.3339,1.3339,4.06,6.54,13.85,15.30,48.03,63.23,121.84,64.35,63.23,33.39,0.12%
004640,华夏节能环保股票,2020-12-31,2.1103,2.1103,2.11,6.54,22.68,30.79,65.98,114.66,202.25,129.41,114.66,111.03,0.15%
008261,招商研究优选股票A,2020-12-31,1.4261,1.4261,1.81,6.54,5.15,10.31,35.69,,,,,42.61,0.15%
070018,嘉实回报混合,2020-12-31,2.1050,2.8030,1.69,6.53,15.79,22.96,45.37,79.70,177.32,113.99,79.70,261.7428,0.15%
000609,华商新量化混合,2020-12-31,2.6420,3.1920,2.32,6.53,13.63,18,31.70,86.58,198.19,122.95,86.58,291.0667,0.15%
168701,合煦智远金融科技指数(LOF)A,2020-12-31,1.0826,1.0826,2.68,6.53,-0.62,-0.86,-3.92,,,,,8.26,0.15%
168702,合煦智远金融科技指数(LOF)C,2020-12-31,1.0786,1.0786,2.68,6.53,-0.65,-0.98,-4.16,,,,,7.86,0.00%
206012,鹏华价值精选股票,2020-12-31,2.9240,2.9240,2.52,6.52,16.03,17.01,35.87,87.68,200.51,102.91,87.68,192.40,0.15%
002291,诺安安鑫灵活配置混合,2020-12-31,2.2099,2.2099,2.89,6.51,15.05,19.54,31.10,80.21,176.55,116.87,80.21,120.99,0.15%
004698,博时军工主题股票,2020-12-31,2.0290,2.0290,3.36,6.51,21.72,23.34,74.61,104.33,171.62,99.90,104.33,102.90,0.15%
005537,中航新起航灵活配置混合A,2020-12-31,1.2677,1.2677,2.25,6.51,2.45,6.53,9.85,10.32,24.46,,10.32,26.77,0.10%
008262,招商研究优选股票C,2020-12-31,1.4182,1.4182,1.79,6.51,5.08,10.08,35.14,,,,,41.82,0.00%
005538,中航新起航灵活配置混合C,2020-12-31,1.2493,1.2493,2.25,6.50,2.44,6.50,9.80,10.15,23.63,,10.15,24.93,0.00%
005888,华夏新兴消费混合A,2020-12-31,3.1326,3.1326,2.36,6.47,14.52,31.83,61.98,104.08,215.79,,104.08,213.26,0.15%
000679,招商丰利灵活配置混合A,2020-12-31,2.2070,2.2070,2.03,6.46,18.46,20.27,32,76.56,119.60,83.61,76.56,120.70,0.15%
005889,华夏新兴消费混合C,2020-12-31,3.0994,3.0994,2.35,6.46,14.48,31.67,61.59,103.08,212.66,,103.08,209.94,0.00%
398041,中海量化策略混合,2020-12-31,1.75,2.2870,3.37,6.45,-0.96,5.87,26.90,57.80,166.36,98.19,57.80,163.0603,0.15%
070019,嘉实价值优势混合,2020-12-31,2.4440,3.0450,1.24,6.45,7.48,20.57,47.58,61.32,125.59,98.83,61.32,280.2364,0.15%
009513,创金同顺创业板精选股票A,2020-12-31,1.1435,1.1435,2.13,6.45,8.21,7.98,14.19,,,,,14.35,0.15%
000971,诺安新经济股票,2020-12-31,1.72,1.72,3.12,6.44,18.21,21.04,29.42,73.56,206.05,98.61,73.56,72,0.15%
002416,招商丰利灵活配置混合C,2020-12-31,2.1650,2.1650,2.03,6.44,18.44,20.14,31.69,75.73,117.37,80.87,75.73,92.1029,0.15%
009514,创金同顺创业板精选股票C,2020-12-31,1.1406,1.1406,2.12,6.44,8.17,7.84,13.90,,,,,14.06,0.00%
004925,长信低碳环保行业量化股票,2020-12-31,1.8780,1.8780,2.86,6.41,23.86,40.42,65.40,102.35,152.42,91.97,102.35,87.80,0.15%
005029,中银产业精选混合,2020-12-31,2.2988,2.2988,1.61,6.40,15.30,19.76,25.37,91.77,,,91.77,129.88,0.15%
160610,鹏华动力增长混合(LOF),2020-12-31,1.7640,2.7250,2.50,6.39,15.29,13.37,28.76,71.03,125.10,81.31,71.03,295.6970,0.15%
400025,东方新兴成长混合,2020-12-31,3.6702,3.6702,1.95,6.39,18.31,27.45,48.20,93.42,179.21,139.95,93.42,267.02,0.15%
007349,华夏科技创新混合A,2020-12-31,2.3997,2.3997,2.08,6.39,15.69,19.12,29.30,80.96,,,80.96,139.97,0.15%
003670,中融物联网主题灵活配置混合,2020-12-31,1.5781,1.5781,3.48,6.38,18.64,24.90,34.47,74.49,136.38,47.33,74.49,57.81,0.15%
519150,新华优选消费混合,2020-12-31,3.3510,4.2870,1.21,6.38,16.35,31.26,57.69,99.46,160.98,138.51,99.46,541.1433,0.15%
005492,农银汇理研究驱动混合,2020-12-31,2.0413,2.0413,2.31,6.38,16.63,19.24,25.91,79.38,147.73,,79.38,104.13,0.15%
001552,天弘中证证券保险A,2020-12-31,1.1202,1.1202,3.76,6.38,-0.77,2.96,23.90,17.84,75.33,34.06,17.84,12.02,0.10%
006424,嘉合锦程混合A,2020-12-31,2.0886,2.1886,2.91,6.38,18.82,37.81,43.91,91.70,128.98,,91.70,129.0729,0.15%
001553,天弘中证证券保险C,2020-12-31,1.1060,1.1060,3.76,6.37,-0.79,2.91,23.77,17.60,74.64,33.22,17.60,10.60,0.00%
004477,嘉实沪港深回报混合,2020-12-31,2.1213,2.1713,1.60,6.37,10.99,21.54,33.28,59.32,133.70,74.83,59.32,121.9436,0.15%
006269,永赢智能领先混合C,2020-12-31,2.4077,2.4077,2.96,6.37,23.28,31.55,75.13,88.44,,,88.44,140.77,0.00%
006266,永赢智能领先混合A,2020-12-31,2.4206,2.4206,2.96,6.37,23.30,31.62,75.29,88.81,,,88.81,142.06,0.15%
007350,华夏科技创新混合C,2020-12-31,2.3995,2.3995,2.07,6.37,,,,,,,,139.95,0.00%
006425,嘉合锦程混合C,2020-12-31,2.0540,2.1540,2.90,6.36,18.74,37.53,43.34,90.19,125.39,,90.19,125.4371,0.00%
000996,中银新动力股票,2020-12-31,1.3910,1.3910,1.53,6.35,16.01,19.91,27.15,91.07,181.58,64.62,91.07,39.10,0.15%
005267,嘉实价值精选股票,2020-12-31,2.0775,2.0775,1.61,6.35,7.91,28.91,64.74,71.48,144.18,101.23,71.48,107.75,0.15%
009877,中银内核驱动股票,2020-12-31,1.1529,1.1529,1.63,6.35,13.98,16.62,,,,,,15.29,0.15%
000264,博时内需增长混合,2020-12-31,1.7110,1.4950,3.38,6.34,12.20,21.61,30.81,54.84,105.65,63.73,54.84,67.2554,0.15%
004450,嘉实前沿科技沪港深股票,2020-12-31,2.3285,2.3285,2.51,6.34,11.80,19.51,26.29,73.92,158.89,91.72,73.92,132.8267,0.15%
009476,建信食品饮料行业股票,2020-12-31,1.1411,1.1411,1.94,6.34,13.61,17.51,,,,,,14.11,0.15%
001143,华商量化进取混合,2020-12-31,1.5160,1.5160,2.16,6.31,12.63,17.16,28.37,70.34,150.99,92.88,70.34,51.60,0.15%
001830,融通跨界成长灵活配置混合,2020-12-31,2.7310,2.7310,2.82,6.31,16.56,18.07,30.54,71.44,167.75,130.27,71.44,173.10,0.15%
009556,兴全合丰三年持有混合,2020-12-31,1.0749,1.0749,2.11,6.31,12.95,13.47,,,,,,7.49,0.15%
001569,泰信国策驱动灵活配置混合,2020-12-31,1.5750,1.5750,2.07,6.28,16.49,28.89,43.84,89.53,209.43,111.13,89.53,57.50,0.15%
001193,中金消费升级,2020-12-31,1.5940,1.5940,1.92,6.27,12.89,22.43,43.22,84.49,173.41,91.36,84.49,59.40,0.15%
001261,中融新机遇混合,2020-12-31,1.3080,1.3080,3.89,6.26,18.48,13.05,17.41,33.88,57.02,30.93,33.88,30.80,0.15%
519196,万家新兴蓝筹灵活配置混合,2020-12-31,2.0075,2.5012,2.92,6.26,12.53,34.29,45,82.30,158.70,102.45,82.30,197.3433,0.12%
501016,国泰中证申万证券行业指数,2020-12-31,1.2740,1.2740,3.82,6.26,-1.01,-1.03,20.60,14.72,72.42,32.83,14.72,27.40,0.12%
519008,汇添富优势精选混合,2020-12-31,4.7050,8.8352,2.58,6.26,12.08,12.50,23.91,58.12,121.52,69.15,58.12,1896.5765,0.15%
008640,方正富邦科技创新A,2020-12-31,1.7352,1.7352,2.61,6.26,24.83,38.78,67.23,,,,,73.52,0.15%
008641,方正富邦科技创新C,2020-12-31,1.7311,1.7311,2.61,6.26,24.81,38.73,67.06,,,,,73.11,0.00%
110011,易方达中小盘混合,2020-12-31,9.1448,10.0348,2.25,6.25,15.55,27.62,50.89,84.34,205.57,161.87,84.34,1051.1991,0.15%
400007,东方策略成长混合,2020-12-31,5.2764,5.2764,1.83,6.25,19.06,25.50,47.77,77.99,134.26,85.53,77.99,427.64,0.15%
003413,华泰柏瑞新经济沪港深混合,2020-12-31,2.1914,2.1914,3.70,6.25,0.50,10.35,16.94,38.84,121.78,71.40,38.84,119.14,0.15%
006768,华安沪港深优选混合,2020-12-31,1.6091,1.6091,2.15,6.24,7.85,20.27,26.08,28.06,,,28.06,60.91,0.15%
001760,嘉实创新成长混合,2020-12-31,1.4670,1.4670,2.02,6.23,13.90,20.44,24.43,50.31,67.66,32.76,50.31,46.70,0.15%
